,Selenium,Silicon,Vanadium,Zinc,Potassium,Sodium,Chloride,Sulfate,,,,,,,,,,,Iron,Magnesium,Manganese,Molybdenum,Nickel,Phosphorus,,,,,,,,,,
Unit,μg/day,N/A,mg/day,mg/day,mg/day,mg/day,mg/day,N/A,,,,,,,,,,,mg/day,mg/day,mg/day,μg/day,mg/day,mg/day,,,,,,,,,,
,EAR,RDA/AI,UL,AI,UL,AI,UL,EAR,RDA/AI,UL,AI,UL,AI,UL,AI,UL,AI,UL,EAR,RDA/AI,UL,EAR,RDA/AI,UL,AI,UL,EAR,RDA/AI,UL,AI,UL,EAR,RDA/AI,UL
Infants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-6 mo,ND,15,45,ND,ND,ND,ND,ND,2 3,4,400,ND,120,ND,180,ND,ND,ND,ND,0.27 11,40,ND,30,ND,0.003,ND,ND,2,ND,ND,ND,ND,100,ND
7-12 mo,ND,20,60,ND,ND,ND,ND,2.5,,5,700,ND,370,ND,570,ND,ND,ND,6.9,,40,ND,75,ND,0.6,ND,ND,3,ND,ND,ND,ND,275,ND
Children,,,,,,,,,3,,,,,,,,,,,7,,,,,,,,,,,,,,
1-3 y,17,20,90,ND,ND,ND,ND,2.5,5,7,3000,ND,1000,1500,1500,2300,ND,ND,3,10,40,65,80,65,1.2,2,13,17,300,ND,0.2,380,460,3000
4-8 y,23,30,150,ND,ND,ND,ND,4,,12,3800,ND,1200,1900,1900,2900,ND,ND,4.1,,40,110,130,110,1.5,3,17,22,600,ND,0.3,405,500,3000
Males,,,,,,,,,8,,,,,,,,,,,8,,,,,,,,,,,,,,
9-13 y,35,40,280,ND,ND,ND,ND,7,11,23,4500,ND,1500,2200,2300,3400,ND,ND,5.9,11,40,200,240,350,1.9,6,26,34,1100,ND,0.6,1055,1250,4000
14-18 y,45,55,400,ND,ND,ND,ND,8.5,11,34,4700,ND,1500,2300,2300,3600,ND,ND,7.7,8,45,340,410,350,2.2,9,33,43,1700,ND,1,1055,1250,4000
19-30 y,45,55,400,ND,ND,ND,1.8,9.4,11,40,4700,ND,1500,2300,2300,3600,ND,ND,6,8,45,330,400,350,2.3,11,34,45,2000,ND,1,580,700,4000
31-50 y,45,55,400,ND,ND,ND,1.8,9.4,11,40,4700,ND,1500,2300,2300,3600,ND,ND,6,8,45,350,420,350,2.3,11,34,45,2000,ND,1,580,700,4000
51-70 y,45,55,400,ND,ND,ND,1.8,9.4,11,40,4700,ND,1300,2300,2000,3600,ND,ND,6,8,45,350,420,350,2.3,11,34,45,2000,ND,1,580,700,4000
>70 y,45,55,400,ND,ND,ND,1.8,9.4,,40,4700,ND,1200,2300,1800,3600,ND,ND,6,,45,350,420,350,2.3,11,34,45,2000,ND,1,580,700,3000
Females,,,,,,,,,8,,,,,,,,,,,8,,,,,,,,,,,,,,
9-13 y,35,40,280,ND,ND,ND,ND,7,9,23,4500,ND,1500,2200,2300,3400,ND,ND,5.7 7.9 8.1 8.1 5 5,15,40,200,240,350,1.6,6,26,34,1100,ND,0.6,1055,1250,4000
14-18 y,45,55,400,ND,ND,ND,ND,7.3,8,34,4700,ND,1500,2300,2300,3600,ND,ND,,18,45,300,360,350,1.6,9,33,43,1700,ND,1,1055,1250,4000
19-30 y,45,55,400,ND,ND,ND,1.8,6.8,8,40,4700,ND,1500,2300,2300,3600,ND,ND,23,18,45,255,310,350,1.8,11,34,45,2000,ND,1,580,700,4000
31-50 y,45,55,400,ND,ND,ND,1.8,6.8,8,40,4700,ND,1500,2300,2300,3600,ND,ND,22,8,45,265,320,350,1.8,11,34,45,2000,ND,1,580,700,4000
51-70 y,45,55,400,ND,ND,ND,1.8,6.8,8,40,4700,ND,1300,2300,2000,3600,ND,ND,22,8,45,265,320,350,1.8,11,34,45,2000,ND,1,580,700,4000
>70 y,45,55,400,ND,ND,ND,1.8,6.8,,40,4700,ND,1200,2300,1800,3600,ND,ND,,,45,265,320,350,1.8,11,34,45,2000,ND,1,580,700,3000
Pregnancy,,,,,,,,,12,,,,,,,,,,7,27,,,,,,,,,,,,,,
< 18 y,49,60,400,ND,ND,ND,ND,10.5,11,34,4700,ND,1500,2300,2300,3600,ND,ND,6.5,27,45,335,400,350,2,9,40,50,1700,ND,1,1055,1250,3500
19-30 y,49,60,400,ND,ND,ND,ND,9.5,11,40,4700,ND,1500,2300,2300,3600,ND,ND,6.5,27,45,290,350,350,2,11,40,50,2000,ND,1,580,700,3500
31-50 y,49,60,400,ND,ND,ND,ND,9.5,,40,4700,ND,1500,2300,2300,3600,ND,ND,,,45,300,360,350,2,11,40,50,2000,ND,1,580,700,3500
Lactation,,,,,,,,,13,,,,,,,,,,,10,,,,,,,,,,,,,,
< 18 y,59,70,400,ND,ND,ND,ND,10.9,12,34,5100,ND,1500,2300,2300,3600,ND,ND,,9,45,300,360,350,2.6,9,35,50,1700,ND,1,1055,1250,4000
19-30 y,59,70,400,ND,ND,ND,ND,10.4,12,40,5100,ND,1500,2300,2300,3600,ND,ND,,9,45,255,310,350,2.6,11,36,50,2000,ND,1,580,700,4000
31-50 y,59,70,400,ND,ND,ND,ND,10.4,,40,5100,ND,1500,2300,2300,3600,ND,ND,,,45,265,320,350,2.6,11,36,50,2000,ND,1,580,700,4000
