,Arsenic,Boron,Calcium,Chromium,Copper,Fluoride,Iodine
Unit,N/A,mg/day,mg/day,μg/day,μg/day,mg/day,μg/day
,AI,UL,AI,UL,EAR,RDA/AI,UL,AI,UL,EAR,RDA/AI,UL,AI,UL,EAR,RDA/AI,UL
Infants
0-6 mo,ND,ND,ND,ND,ND,200,1000,0.2,ND,ND,200,ND,0.01,0.7,ND,110,ND
7-12 mo,ND,ND,ND,ND,ND,260,1500,5.5,ND,ND,220,ND,0.5,0.9,ND,130,ND
Children
1-3 y,ND,ND,ND,3,500,700,2500,11,ND,260,340,1000,0.7,1.3,65,90,200
4-8 y,ND,ND,ND,6,800,1000,2500,15,ND,340,440,3000,1,2.2,65,90,300
Males
9-13 y,ND,ND,ND,11,1100,1300,3000,25,ND,540,700,5000,2,10,73,120,600
14-18 y,ND,ND,ND,17,1100,1300,3000,35,ND,685,890,8000,3,10,95,150,900
19-30 y,ND,ND,ND,20,800,1000,2500,35,ND,700,900,10000,4,10,95,150,1100
31-50 y,ND,ND,ND,20,800,1000,2500,35,ND,700,900,10000,4,10,95,150,1100
51-70 y,ND,ND,ND,20,800,1000,2000,30,ND,700,900,10000,4,10,95,150,1100
>70 y,ND,ND,ND,20,1000,1200,2000,30,ND,700,900,10000,4,10,95,150,1100
Females
9-13 y,ND,ND,ND,11,1100,1300,3000,21,ND,540,700,5000,2,10,73,120,600
14-18 y,ND,ND,ND,17,1100,1300,3000,24,ND,685,890,8000,3,10,95,150,900
19-30 y,ND,ND,ND,20,800,1000,2500,25,ND,700,900,10000,3,10,95,150,1100
31-50 y,ND,ND,ND,20,800,1000,2500,25,ND,700,900,10000,3,10,95,150,1100
51-70 y,ND,ND,ND,20,1000,1200,2000,20,ND,700,900,10000,3,10,95,150,1100
>70 y,ND,ND,ND,20,1000,1200,2000,20,ND,700,900,10000,3,10,95,150,1100
Pregnancy
< 18 y,ND,ND,ND,17,1100,1300,3000,29,ND,785,1000,8000,3,10,160,220,900
19-30 y,ND,ND,ND,20,800,1000,2500,30,ND,800,1000,10000,3,10,160,220,1100
31-50 y,ND,ND,ND,20,800,1000,2500,30,ND,800,1000,10000,3,10,160,220,1100
Lactation
< 18 y,ND,ND,ND,17,1100,1300,3000,44,ND,985,1300,8000,3,10,209,290,900
19-30 y,ND,ND,ND,20,800,1000,2500,45,ND,1000,1300,10000,3,10,209,290,1100
31-50 y,ND,ND,ND,20,800,1000,2500,45,ND,1000,1300,10000,3,10,209,290,1100
