,"Vitamin ATable 1 footnote 1,Table 1 footnote 2",Vitamin D **,Vitamin ETable 1 footnote 5,Vitamin K
Unit,μg/day (RAE),IU/day (RAE),μg/dayTable 1 footnote 4,IU/dayTable 1 footnote 4,mg/day,μg/day
,EAR,RDA/AI,ULTable 1 footnote 3,EAR,RDA/AI,ULTable 1 footnote 3,EAR,RDA/AI,UL,EAR,RDA/AI,UL,EAR,RDA/AI,ULTable 1 footnote 6,AI,ULTable 1 footnote 7
Infants
0-6 mo,ND,400*,600,ND,1333*,2000,ND,10*,25,ND,400*,1000,ND,4*,ND,2.0*,ND
7-12 mo,ND,500*,600,ND,1667*,2000,ND,10*,38,ND,400*,1500,ND,5*,ND,2.5*,ND
Children
1-3 y,210,300,600,700,1000,2000,10,15,63,400,600,2500,5,6,200,30*,ND
4-8 y,275,400,900,917,1333,3000,10,15,75,400,600,3000,6,7,300,55*,ND
Males
9-13 y,445,600,1700,1483,2000,5667,10,15,100,400,600,4000,9,11,600,60*,ND
14-18 y,630,900,2800,2100,3000,9333,10,15,100,400,600,4000,12,15,800,75*,ND
19-30 y,625,900,3000,2083,3000,10000,10,15,100,400,600,4000,12,15,1000,120*,ND
31-50 y,625,900,3000,2083,3000,10000,10,15,100,400,600,4000,12,15,1000,120*,ND
51-70 y,625,900,3000,2083,3000,10000,10,15,100,400,600,4000,12,15,1000,120*,ND
>70 y,625,900,3000,2083,3000,10000,10,20,100,400,800,4000,12,15,1000,120*,ND
Females
9-13 y,420,600,1700,1400,2000,5667,10,15,100,400,600,4000,9,11,600,60*,ND
14-18 y,485,700,2800,1617,2333,9333,10,15,100,400,600,4000,12,15,800,75*,ND
19-30 y,500,700,3000,1667,2333,10000,10,15,100,400,600,4000,12,15,1000,90*,ND
31-50 y,500,700,3000,1667,2333,10000,10,15,100,400,600,4000,12,15,1000,90*,ND
51-70 y,500,700,3000,1667,2333,10000,10,15,100,400,600,4000,12,15,1000,90*,ND
>70 y,500,700,3000,1667,2333,10000,10,20,100,400,800,4000,12,15,1000,90*,ND
Pregnancy
< 18 y,530,750,2800,1767,2500,9333,10,15,100,400,600,4000,12,15,800,75*,ND
19-30 y,550,770,3000,1833,2567,10000,10,15,100,400,600,4000,12,15,1000,90*,ND
31-50 y,550,770,3000,1833,2567,10000,10,15,100,400,600,4000,12,15,1000,90*,ND
Lactation
< 18 y,885,1200,2800,2950,4000,9333,10,15,100,400,600,4000,16,19,800,75*,ND
19-30 y,900,1300,3000,3000,4333,10000,10,15,100,400,600,4000,16,19,1000,90*,ND
31-50 y,900,1300,3000,3000,4333,10000,10,15,100,400,600,4000,16,19,1000,90*,ND
